,0
Fast wifi \u2013 857 Mbps,1
Dr. Bronners Products body soap,1
Single Burner Hot Plate stainless steel electric stove,1
Echo Show Bluetooth sound system,1
Luseta conditioner,1
Public goods  body soap,1
Panten conditioner,1
Full Size Whirlpool side by side with filtered water and ice dispenser  refrigerator,1
Exogear Bluetooth Speaker System Bluetooth sound system,1
"38\"" HDTV with premium cable",1
Thermador  stainless steel double oven,1
Sonos Surround Sound System Bluetooth sound system,1
Echo dot sound system,1
Beauty & Planet conditioner,1
Kenmore3  refrigerator,1
Klipsch sound system,1
Pantene ProV or Equivalent conditioner,1
Gilchrist & Soames body soap,1
Pantene ProV or Equivalent shampoo,1
Cruelty Free-Vegan shampoo,1
Cruelty Free-Vegan body soap,1
Cruelty Free-Vegan conditioner,1
Pears glycerin body soap,1
Fast wifi \u2013 550 Mbps,1
Kiels conditioner,1
Kiels body soap,1
Bertazzoni oven,1
Private outdoor pool - pool toys,1
Vintage CD and discs sound system,1
head and shoulders shampoo,1
Ascoli Multi Air Flow / No Frost refrigerator,1
Vibe shampoo,1
Vibe  body soap,1
Vibe conditioner,1
Everyone conditioner,1
Everyone shampoo,1
Electrolux gas stove,1
O'keefe and Merritt oven,1
Mini Frig with built in Freezer refrigerator,1
Toshiba stainless steel oven,1
Huntington Soap Co.  body soap,1
Sound Bar in living room Bluetooth sound system,1
White rain and suave body soap,1
Avida body soap,1
"85\"" HDTV with Roku",1
KitchenAid stainless steel electric stove,1
Jen air  refrigerator,1
JBL sound system with aux,1
Sustain LA body soap,1
Dove extra moisturizing body wash body soap,1
Cruelty Free shampoo,1
Cruelty Free conditioner,1
Ikea induction stove,1
3 refrigerators + freezers + ice/water dispensers  refrigerator,1
Free carport on premises \u2013 11 spaces,1
Fridgeaire refrigerator,1
Fridgaire stainless steel oven,1
Trader\u2019s Joe Organic Three in One conditioner,1
Oster stainless steel oven,1
Alexa  sound system,1
Portable Oven oven,1
Various Bluetooth sound system,1
Hard-wired throughout house sound system,1
Wolf single oven,1
Kirkland plant based body soap,1
Teka gas stove,1
"Trader Joe's \""Tea Tree Tingle\"" body soap",1
Apple Airplay sound system with Bluetooth and aux,1
Public goods body soap,1
"64\"" HDTV with Chromecast",1
4.9 cubic ft Whirlpool Freezer/Fridge refrigerator,1
Kenmore ELite stainless steel oven,1
"58\"" HDTV with standard cable",1
Dove or similar  conditioner,1
"36\"" HDTV with DVD player",1
Electric top plate oven,1
Bran  Bluetooth sound system,1
Range oven,1
microwave  stainless steel oven,1
General  body soap,1
Toiletries are provided for approximately the first week of stay. shampoo,1
Toiletries are provided for approximately the first week of stay. body soap,1
2 burner cooktop  gas stove,1
Suave (blue) body soap,1
Types vary but if you have a brand you prefer,1
please feel free to bring your own.  conditioner,1
Suave (clear) shampoo,1
Suave (white) conditioner,1
Paid parking lot on premises \u2013 11 spaces,1
Coconut shampoo,1
Echo Dot sound system,1
"62\"" HDTV with Netflix",1
Amana stainless steel gas stove,1
Wifi Bluetooth sound system,1
Jason Organic Body Wash  body soap,1
Organic Desert Breeze conditioner,1
Sonos & Alexa sound system with Bluetooth and aux,1
Organic Desert Breeze body soap,1
Amazon Basics body soap,1
16 inch convection / toaster oven oven,1
Shared outdoor pool - pool cover,1
The Well Refill body soap,1
Multiple body soap,1
TRESemme 4+4 Deep Moisturizing Conditioner conditioner,1
Wifi \u2013 16 Mbps,1
TRESemme 4+4 Deep Cleansing Shampoo shampoo,1
"36\"" TV with Chromecast",1
"24\"" TV with Amazon Prime Video",1
Organic Cherry from The Well in town. conditioner,1
Organic Lavender from The Well in town body soap,1
VERB conditioner,1
INSIGNIA refrigerator,1
Hotel  body soap,1
Convection toaster oven oven,1
Danyo refrigerator,1
Air Fryer and a toaster Oven oven,1
Multiple shampoo,1
Fast wifi \u2013 427 Mbps,1
"77\"" HDTV with Roku",1
Organic Desert Breeze shampoo,1
Fast wifi \u2013 893 Mbps,1
Samsung we can clear top shelf refrigerator,1
"52\"" HDTV with Fire TV",1
Beauty & Planet shampoo,1
Classic Retro refrigerator,1
Full size refrigerator and freezer refrigerator,1
Patene shampoo,1
Vegan/Cruelty Free/Enviornmentally Sustainable shampoo,1
Vegan/Cruelty Free/Enviornmentally Sustainable body soap,1
"31\"" TV",1
Sound 3 Bluetooth speaker Bluetooth sound system,1
Fast wifi \u2013 276 Mbps,1
Google Home Display. Can play through Spotify! sound system,1
Air Fryer\\ Oven single oven,1
Fast wifi \u2013 713 Mbps,1
Classic Retro oven,1
Classic Retro gas stove,1
Sustain LA conditioner,1
T sound system with Bluetooth and aux,1
Treseme body soap,1
and Neutrogena body wash body soap,1
We have hand soap by kitchen and bathroom sinks,1
Different brands. body soap,1
Nexus hair products conditioner,1
Biolage shampoo,1
Costco  shampoo,1
Wifi for your sound system Bluetooth sound system,1
Ren Pure Coconut Milk & Vitamin E Bodywash body soap,1
Marshall Bluetooth sound system,1
Vegan/Cruelty Free/Enviornmentally Sustainable conditioner,1
with New venting system electric stove,1
New Glass Top Stove and over,1
Individual bars of various brands of body soap are available including Yardly body soap,1
Kennmore refrigerator,1
Worldpool refrigerator,1
Standard soap body soap,1
Natural Products shampoo,1
Standard stove,1
Standard brands shampoo,1
Natural Products conditioner,1
Dr bronner body soap,1
Fast wifi \u2013 718 Mbps,1
We provide body.soap,1
Electric oven,1
shampoo and conditioner  body soap,1
Regular  oven,1
Regular  refrigerator,1
Pureology conditioner,1
Regular  electric stove,1
Five burner gas stove oven,1
Fratelli Onofri stainless steel gas stove,1
Fratelli Onofri stainless steel single oven,1
Kenwood sound system with aux,1
Leiberr refrigerator,1
Apartment sized refrigerator,1
Full size electric glass top stove with full size oven oven,1
JBL Charge 4 Speaker Bluetooth sound system,1
"77\"" HDTV",1
"32\"" TV with Apple TV",1
JBL Portable speaker sound system with Bluetooth and aux,1
Amazon Basics Bluetooth sound system,1
"80\"" HDTV with Chromecast",1
Essential body soap,1
Mini fridge in the room refrigerator,1
JenAir stainless steel oven,1
JenAir stainless steel gas stove,1
PAYA Luscious Quenching Shampoo shampoo,1
PAYA Luscious Quenching Conditioner conditioner,1
PAYA Luscious Quenching Shower Gel body soap,1
Equate (compared to Dove Body Moisturizer) body soap,1
Tresemme Shampoo Moisture Rich shampoo,1
Essential shampoo,1
"62\"" HDTV with Roku",1
Kitchen aid counter oven  oven,1
"49\"" HDTV with Fire TV",1
"85\"" HDTV with standard cable",1
European body soap,1
European conditioner,1
European shampoo,1
Essential conditioner,1
Phamacopia conditioner,1
Phamacopia body soap,1
Mitsubishi conditioner,1
L'oreal conditioner,1
L'oreal shampoo,1
At the backyard. oven,1
Neutrogenia body soap,1
GE\u00ae 4.3 Cu. Ft. Compact Refrigerator refrigerator,1
Induction cooker electric stove,1
Hamilton Beach Air Fry Sure-Crisp Toaster Oven stainless steel oven,1
Shelf space in shared fridge  refrigerator,1
Tea tree oil shampoo shampoo,1
Tea tree oil conditioner  conditioner,1
Stainless Steel  refrigerator,1
Organic Shampoo shampoo,1
Samsung Electric Stove stainless steel electric stove,1
"48\"" TV",1
Organic body soap body soap,1
Samsung Electric  stainless steel oven,1
Organic Conditioner conditioner,1
Tom\u2019s  body soap,1
Whole Foods shampoo,1
Bose connect using Bluetooth \u00ab\u00a0music Receiver\u00a0\u00bb sound system with Bluetooth and aux,1
Beauty & Planet body soap,1
Asos conditioner,1
Asos body soap,1
Asos shampoo,1
Suave Shower gel body soap,1
Suave 2 in one shampoo and conditioner  shampoo,1
Suave 2 in one shampoo and conditioner  conditioner,1
Shared refrigerator,1
Kiehl's Dove,1
Basic generic brand shampoo,1
Denon,1
Fast wifi \u2013 269 Mbps,1
Don\u2019t know oven,1
Fast wifi \u2013 647 Mbps,1
Don\u2019t know gas stove,1
MAYTAG refrigerator,1
Fast wifi \u2013 700 Mbps,1
\u4e0d\u7279\u5b9a conditioner,1
Aveda  body soap,1
Roper Vintage stainless steel oven,1
\u4e0d\u7279\u5b9a body soap,1
Emotive amp sound system with Bluetooth and aux,1
All sorts body soap,1
Kirkland signature body soap,1
All sorts conditioner,1
Fast wifi \u2013 180 Mbps,1
Fast wifi \u2013 160 Mbps,1
"64\"" HDTV with standard cable",1
Fast wifi \u2013 488 Mbps,1
Kitchen Aid electric stove,1
OGX with Argan oil of Morocco shampoo,1
Premium brand Body Wash body soap,1
OGX With Argan oil of Morocco body soap,1
Premium Brand conditioner,1
Premium Brand shampoo,1
Toaster oven single oven,1
Botanical Herbal Citrus body soap,1
Fast wifi \u2013 299 Mbps,1
Malibu Home Spa body soap,1
Kenmor oven,1
shampoo and conditioner. body soap,1
EO Products body soap,1
"38\"" HDTV with Disney+",1
Cal Flame gas stove,1
Electric stovetop electric stove,1
Clean shampoo,1
Fisher&Paykel refrigerator,1
Clean conditioner,1
Generic brand conditioner,1
Organic  shampoo,1
Vissani w/ freezer refrigerator,1
Double induction cooker stove,1
Shower gel & bar soap body soap,1
Liquid soap body soap,1
Emeril Lagasse Power AirFryer 360XL stainless steel oven,1
"55\"" TV with premium cable",1
Refrigerator is shared and located in our dining hall which is open 24/7 refrigerator,1
Game console: Nintendo Wii and Xbox One,1
Any brand  shampoo,1
Vo5 shampoo,1
Free parking on premises \u2013 5 spaces,1
Malibu Home Spa conditioner,1
OGX with Argan oil of Morocco conditioner,1
BOSE Soundlink Revolve Wireless Bluetooth Speaker Bluetooth sound system,1
Fast wifi \u2013 115 Mbps,1
Salon body soap,1
Edifer sound system with Bluetooth and aux,1
Jenn-Air stainless steel single oven,1
FRIDGE refrigerator,1
Men Dove / Women Olay  body soap,1
Community refrigerator,1
"38\"" HDTV with Amazon Prime Video",1
Fast wifi \u2013 392 Mbps,1
Nakamichi Bluetooth sound system,1
Kirkland pump body soap,1
Gas Viking Stove and Oven stainless steel oven,1
Shared outdoor pool - lap pool,1
Non toxic Vegan Products body soap,1
All clean brands shampoo,1
Clean brands only conditioner,1
Jason's body soap,1
Thermador Professional stainless steel gas stove,1
Mini ref refrigerator,1
TCL Soundbar Bluetooth sound system,1
Toaster oven not giant oven oven,1
Black and decker refrigerator,1
Trader Joe\u2019s body wash body soap,1
Herbal Essence and Dr Bronner's Pure-Castile shampoo,1
"86\"" HDTV",1
Native body wash and Dove bar soap body soap,1
"56\"" HDTV with premium cable",1
SONOS speaker Bluetooth sound system,1
Fast wifi \u2013 583 Mbps,1
LG refrigerator and freezer with ice maker  refrigerator,1
Soapbox - organic,1
vegan and more shampoo,1
Whirlpool Gold oven,1
Irish Spring  body soap,1
Vegan and more conditioner,1
Vegan and more body soap,1
"49\"" HDTV with premium cable",1
Viking electric stove,1
Home Pod Bluetooth sound system,1
Many choices -- liquid and bar! body soap,1
Whole Foods 365 Brand conditioner,1
Fast wifi \u2013 577 Mbps,1
Denon  sound system with aux,1
Game console: Nintendo Switch and Xbox One,1
EcoSciences - Starter / Complimentary. So you don't have to go shopping on your first night. shampoo,1
EcoSciences - Starter / Complimentary. So you don't have to go shopping on your first night. body soap,1
EcoSciences - Starter / Complimentary. So you don't have to go shopping on your first night. conditioner,1
Usually Dove or something equivalent to that. shampoo,1
Usually Dove or something equivalent to that. body soap,1
Usually Dove or something equivalent to that. conditioner,1
NEUTROGENA body soap,1
BANG & OLUFSEN Bluetooth sound system,1
Kirkland signature shampoo,1
Non specific body soap,1
FRIGIDAIRE oven,1
"120\"" HDTV",1
LG - small refrigerator,1
roasting pan stainless steel oven,1
Large toaster oven with pizza pan,1
Retro mid sized  refrigerator,1
Everyone Organic liquid soap suitable for our Greywater system body soap,1
Fridgidaire stainless steel stove,1
Bosch 2-burner induction stove,1
Avalon Organics - great for our Greywater system shampoo,1
Fridgidaire stainless steel oven,1
Avalon Organics - approved for Greywater system conditioner,1
There\u2019s an air conditioner in the room. You can control the temperature you like  conditioner,1
Organic by soap girls in la body soap,1
Non specific conditioner,1
Whirpool Gold refrigerator,1
Soap girls in la  conditioner,1
Nivea  body soap,1
2 Pool Speakers  Bluetooth sound system,1
Cooktron  stainless steel induction stove,1
Tresseme conditioner,1
Surround sound sonos.  Easy airplay when playing music while connected to the WiFi.  Bluetooth sound system,1
"88\"" HDTV with Apple TV",1
2-burner electric stovetop stainless steel stove,1
BeeKind conditioner,1
Oil of Olay conditioner,1
Dove ;  Oil of Olay ; Kirkland  body soap,1
KitchenAid double wall oven stainless steel oven,1
Fast wifi \u2013 480 Mbps,1
conditioner  body soap,1
Orlando Pita  conditioner,1
HK  Bluetooth sound system,1
Okeefe-Merritt gas stove,1
Aveda \u2014vegan and not animal tested conditioner,1
Bergman Kelly (shampoo and soap 2 in 1) conditioner,1
Aveda\u2014vegan and not animal  tested body soap,1
Nuwave2 cooktop stove,1
Whirlpool stainless steel induction stove,1
Mini oven to re-heat bread,1
pizza,1
wings,1
chicken,1
etc. stainless steel single oven,1
Bose sound system  sound system with Bluetooth and aux,1
"29\"" HDTV with Apple TV",1
Head and Shoulders /dispenser,1
green liquid pull to dispense shampoo,1
Amazon Echo Show 5 Bluetooth sound system,1
Electric cook top  stove,1
Necessaire and Pattern conditioner,1
"27\"" HDTV with Disney+",1
Necessaire and Pattern shampoo,1
Body wash,1
Convection microwave oven,1
General Electric. Small oven.  stainless steel single oven,1
Bar & liquid body soap,1
Classic refrigerator,1
All natural body soap,1
All natural conditioner,1
Western-Holly double oven,1
Western-Holly gas stove,1
EO - Essential Oils shampoo,1
"74\"" HDTV with Netflix",1
EO - Essential Oils body soap,1
GE Monogram with Griddle stainless steel stove,1
Olive  conditioner,1
Olive  shampoo,1
Olive  body soap,1
4 burner with oven  gas stove,1
Jen Air gas stove,1
ZLINE stainless steel single oven,1
Hotel essentials  body soap,1
Bergman Kelley (Shampoo) shampoo,1
Bergman Kelley (Conditioner) conditioner,1
Bergman Kelley (bar soap) body soap,1
Trader Joe's Brand conditioner,1
Trader Joe's Brand body soap,1
"40\"" TV with Disney+",1
Non specific shampoo,1
Herbal Essence or similar conditioner,1
EO - Essential Oils conditioner,1
Small Fridge refrigerator,1
Viking double oven,1
All natural shampoo,1
"\""everyone\"" brand conditioner",1
"\""everyone\"" brand body soap",1
LC brand. Big enough to keep food for 6 people for a couple weeks.  refrigerator,1
Boss. Small speaker. Always in the living room.  Bluetooth sound system,1
Google Nest speakers and Sony XBR Soundbar Bluetooth sound system,1
Game console: Nintendo Wii U,1
Samsung induction stove,1
Muchas marcas conditioner,1
oil of Olay  body soap,1
5.1 Surround Sound Bluetooth sound system,1
Paid crib - always at the listing,1
Ginger Lily  conditioner,1
Ginger Lily shampoo,1
Everyone Organic body soap body soap,1
Full size fridge refrigerator,1
Toaster Oven with Convection stainless steel oven,1
Fast-heating electric smooth glass top  electric stove,1
Argan Magic body soap,1
"42\"" TV with HBO Max",1
Trader Joe 3  shampoo,1
General Electric  single oven,1
Wifi \u2013 6 Mbps,1
Various shampoo and conditioner brands  conditioner,1
Herbal Essence and Dr Bronner's Pure-Castile body soap,1
Tea Tree Oil conditioner,1
Fast wifi \u2013 673 Mbps,1
Beko Gas Range stainless steel stove,1
Mrs. Meyers body soap,1
Trader Joe\u2019s All in One body soap,1
Honest company conditioner,1
Honest company and Bronners body soap,1
Kirkland signature  body soap,1
Gas cooktop stainless steel gas stove,1
"48\"" HDTV with DVD player",1
Alaffia  conditioner,1
Beko Gas Range stainless steel oven,1
Gas range top stainless steel stove,1
Hand made soap  body soap,1
Panteen shampoo,1
Tea Tree Oil body soap,1
Garnier Fructise conditioner,1
Garnier Fructise shampoo,1
Frididare refrigerator with filtered ice maker refrigerator,1
Galanz french door refrigerator,1
GILCHRIST & SOAMES LONDON conditioner,1
GILCHRIST & SOAMES LONDON body soap,1
GILCHRIST & SOAMES LONDON shampoo,1
Bose Surround sound  sound system,1
Baby monitor - always at the listing,1
Insigna  refrigerator,1
Ge stainless steel single oven,1
O'keefe and Merrit oven,1
Fast wifi \u2013 131 Mbps,1
Brazilian Keratin Therapy shampoo,1
"20\"" TV with DVD player",1
Mini Hotel Sizes body soap,1
It's small. Gets the job done.  stainless steel oven,1
Kind that smells nice.  conditioner,1
It's nice. 2 in 1. shampoo,1
"31\"" HDTV with Roku",1
Botanika Rose Oil body soap,1
Can connect to bluetooth to TV Bluetooth sound system,1
Proterra body soap,1
Paya shampoo,1
Dove Deep Moisture body soap,1
TRESemme - Rich Moisture  shampoo,1
TRESemme - Rich Moisture conditioner,1
365 Organic body soap,1
Generic refrigerator,1
Bose Sound Bar Bluetooth sound system,1
Brazilian Keratin Therapy conditioner,1
Traders Joes body soap,1
Generic  stainless steel oven,1
Fast wifi \u2013 504 Mbps,1
"23\"" HDTV with Amazon Prime Video",1
Vintage Wedgewood  gas stove,1
O'keefe and Merrit gas stove,1
Frigidare refrigerator,1
Ken more  single oven,1
"38\"" TV with Disney+",1
"53\"" HDTV with Netflix",1
Several good brands shampoo,1
Several Good brands conditioner,1
Unknown sound system,1
SONOS connect via wifi sound system,1
Seven Minerals Organic Castile Soap body soap,1
Planet - Eco and green. conditioner,1
Beauty,1
Avalon Organic Shampoo shampoo,1
Various selection body soap,1
ZERO refrigerator,1
Various options. conditioner,1
Shea conditioner,1
Sonos full house sound system with Bluetooth and aux,1
JP Bluetooth sound system,1
Varies - Bodywash body soap,1
Neutrogena rainbath body soap,1
Shared hot tub - open 24 hours,1
Relatively new fridge with freezer refrigerator,1
O'keefe Merrit oven,1
Soundbar for TV and Aux input  sound system with aux,1
SHEA shampoo,1
Homepod on second floor Bluetooth sound system,1
Aga Marvel stainless steel gas stove,1
Standard conditioner brand conditioner,1
Fast wifi \u2013 649 Mbps,1
Frigidaire or Maytag stainless steel oven,1
Alpine Provisions Rosemary/Mint or Fir/Sage shampoo,1
Powerful & New Split Unit conditioner,1
Aiwa Bluetooth sound system,1
Standard  conditioner,1
GE Profile stainless steel oven,1
Hey humans! - Coconut Mint body soap,1
Standard  shampoo,1
Standard refrigerator,1
Standard  body soap,1
Natural Sustainable Product from Public Goods body soap,1
Other wood-burning stove,1
Alpine Provisions - Rosemary/Mint or Fir/Sage conditioner,1
GE Profile stainless steel induction stove,1
Morocco argan oil  body soap,1
TREsemme shampoo,1
TREsemme conditioner,1
"51\"" HDTV with Netflix",1
Natural Sustainable Product from Public Goods conditioner,1
Under counter refrigerator,1
Convection/microwave oven,1
Small induction cooktop with a small saucepan and frying pan are available induction stove,1
Natural Sustainable Product from Public Goods shampoo,1
Mini fridge with separate freezer space refrigerator,1
Roku streambar  Bluetooth sound system,1
"52\"" HDTV with Chromecast",1
No Idea. Smallish.  stainless steel gas stove,1
Fast wifi \u2013 543 Mbps,1
Sony Soundbar Bluetooth sound system,1
Capital stainless steel oven,1
Sound bar and subwoofer connected to TV Bluetooth sound system,1
The Well conditioner,1
VIKING stainless steel single oven,1
The Well body soap,1
REALLY? SAMSUNG refrigerator,1
O\u2019Keefe gas stove,1
NA conditioner,1
NA body soap,1
Fast wifi \u2013 159 Mbps,1
"47\"" HDTV with Disney+",1
You have small one in bedroom  refrigerator,1
Paraben free  body soap,1
GE Cafe stainless steel stove,1
"27\"" HDTV with Amazon Prime Video",1
Sound Bar & Sonos sound system,1
Moisture rich  shampoo,1
Moisture rich  conditioner,1
Wedgewood  oven,1
Wedgewood stainless steel gas stove,1
"44\"" HDTV with Apple TV",1
Guest's Have Their Own Fridge refrigerator,1
Whole House + Sonos Bluetooth sound system,1
Wedgewood (Restored 1950's model) gas stove,1
Fast wifi \u2013 591 Mbps,1
Ginger Lily Farms Botanicals HEMP Herbal Moisturizing Shampoo shampoo,1
"62\"" HDTV with Hulu",1
Capital stainless steel gas stove,1
Westinghouse stainless steel refrigerator refrigerator,1
Alexa Echo  Speaker and Clock Bluetooth sound system,1
Eco Botanics body soap,1
Hask shampoo,1
Fast wifi \u2013 834 Mbps,1
"30\"" HDTV with HBO Max",1
Fast wifi \u2013 616 Mbps,1
"28\"" TV with standard cable",1
Alba  conditioner,1
Alba shampoo,1
Castille liquid soap body soap,1
Hask conditioner,1
Shampoo and conditioner.. conditioner,1
Electrocompaniet  sound system,1
Trader Joes Hair Conditioner conditioner,1
Trader Joes body wash body soap,1
Technics sound system with Bluetooth and aux,1
Brand New refrigerator,1
Google Nest Audio Bluetooth sound system,1
Pantene Essential Botanicals conditioner,1
Pantene Essential Botanicals shampoo,1
"85\"" HDTV with Chromecast",1
"58\"" TV with Netflix",1
Zero & others body soap,1
Panteen  conditioner,1
Smallish Red Fridge with Small Freezer. Keep this in mind. It's Retro! refrigerator,1
Jennair stainless steel electric stove,1
Jennair stainless steel oven,1
Fast wifi \u2013 902 Mbps,1
Pantien conditioner,1
Bath and Body Works conditioner,1
Cusinart single burner hotplate stainless steel electric stove,1
Magic Chef under-the-counter size refrigerator,1
Pantien shampoo,1
Electrolux electric stove,1
Samsung fridge with icemaker refrigerator,1
Kirkland Signature Natural Body Wash Natural Citrus body soap,1
Hot Point gas stove,1
Pantene Pro V Shampoo shampoo,1
Pantene Pro V Conditioner conditioner,1
No specific brand  conditioner,1
No specific brand  body soap,1
Fast wifi \u2013 563 Mbps,1
Leave in conditioner,1
W stainless steel oven,1
W stainless steel gas stove,1
Google  sound system,1
Yes,1
we have body wash. Smells great! body soap,1
W refrigerator,1
Honest Company shampoo,1
Paid parking garage on premises \u2013 9 spaces,1
Brand Varies - High Quality body soap,1
Na conditioner,1
Brand Varies - High Quality conditioner,1
Counter top oven oven,1
Whole Foods Market conditioner,1
Whole Foods Market shampoo,1
Fast wifi \u2013 627 Mbps,1
Google voice activated speaker.  Say \u201cHey Google\u201d each time to activate. Speaker is Hands Free.  Please do not touch or remove speaker.  If speaker is damaged a $100 dollars will be charged. Bluetooth sound system,1
please feel free to bring yours.  conditioner,1
The type varies. If you have preference with only certain brand,1
There is shower gel. Brand varies but if you have one that you prefer please feel free to bring your own.  body soap,1
please feel free to bring what you like.  shampoo,1
Type varies. If you can only use a particular brand,1
Fast wifi \u2013 412 Mbps,1
"51\"" HDTV with Amazon Prime Video",1
Tre Semme  conditioner,1
Tre Semme shampoo,1
O'Keefe & Merrit oven,1
Castor shampoo,1
Organic body wash body soap,1
Fully built in paneled fridge freezer refrigerator,1
Eucalyptus  body soap,1
Castor  conditioner,1
Na shampoo,1
Na single oven,1
Body wash  body soap,1
"40\"" TV with premium cable",1
Nexus  conditioner,1
Dove or Oil of Olay body soap,1
Sears Brand refrigerator,1
Be sure to use the exhaust fan to avoid alarms.  gas stove,1
Microwave Oven stainless steel oven,1
Only a refrigerator.  No freezer.  refrigerator,1
Suave Herbal conditioner,1
Nuwave induction stove,1
Kristin Ess conditioner,1
AirFryer Oven stainless steel oven,1
TWO refrigerators\u2014both NEW refrigerator,1
Pantene or Dove shampoo,1
Several conditioner,1
Pantene or Dove conditioner,1
Fast wifi \u2013 544 Mbps,1
Many available body soap,1
ORGANIC conditioner,1
EVERYONE SOAP body soap,1
Common brand  shampoo,1
In all bathrooms and on each TV and OUTSIDE    *****HEOS  sound system with Bluetooth and aux,1
Holiday  oven,1
"24\"" TV with Roku",1
Full Size Newer Refrigerator refrigerator,1
Holiday  gas stove,1
Dolby Atmos sound system with aux,1
Dove body wash  body soap,1
"140\"" HDTV with Amazon Prime Video",1
BlueSound Bluetooth sound system,1
Suave Herbal shampoo,1
O'Keefe Merrit gas stove,1
Ginger Lily Farms - salon grade conditioner,1
Heyday small speaker  Bluetooth sound system,1
among others.  conditioner,1
1801 Beekman Luxury Spa Goat Milk Soap & Handmade Hand Cut Amish Wild Flower Bars body soap,1
Pantene. shampoo,1
Botanic Hearth conditioner,1
Botanic Hearth shampoo,1
Botanic Hearth body soap,1
Tres Semee  conditioner,1
Paid parking garage on premises \u2013 15 spaces,1
Electrolux refrigerator,1
Individual shampoo containers shampoo,1
Liquid and individual bar soaps body soap,1
GE - Double Oven stainless steel oven,1
Dr. Bronners Castille soap body soap,1
"53\"" HDTV with Roku",1
N//A body soap,1
ALEXA system sound system,1
O'Keefe and Merritt oven,1
Share with family refrigerator,1
Electric  oven,1
"25\"" TV",1
Bosch oven oven,1
Nbnb stove,1
Lg gas stove,1
Lg  stainless steel oven,1
Ginger Lily Spa conditioner,1
Honest conditioner,1
Kitchenaid  refrigerator,1
Varies. conditioner,1
Dove or something equivalent to that. shampoo,1
DOVE conditioner,1
2 burner cooktop electric stove,1
Not Your Mother's Naturals conditioner,1
"46\"" HDTV with standard cable",1
Dr. Teal's body soap,1
"Jenn-Air 48\"" stainless steel oven",1
Dial bodywash.  body soap,1
Recontained Daily Shampoo shampoo,1
Pentene shampoo conditioner,1
Trader Joe's  body soap,1
PAYA Organics shampoo,1
Balmuda Toaster Oven  oven,1
Amazon Echo Smart Speaker sound system,1
AEG induction stove,1
PAYA Organics body soap,1
VISSANI refrigerator,1
"55\"" HDTV with DVD player",1
Bring your own Brand body soap,1
Bring your own Brand conditioner,1
Honest shampoo,1
JVC Bluetooth speaker  Bluetooth sound system,1
Fast wifi \u2013 235 Mbps,1
Electric stainless steel electric stove,1
Brand new stainless steel oven,1
Convection Oven/Microwave oven,1
Soundbar  Bluetooth sound system,1
Whenever possible I try to provide natural hair shampoo shampoo,1
Varied body soap,1
Everyone -Organic body soap,1
Planet love body soap,1
Martin logan sound system,1
"100\"" HDTV with HBO Max",1
Dove brand or something equivalent to that. body soap,1
Whenever possible I try to supply natural conditioner conditioner,1
Top of a line german oven Gaggenau  stainless steel single oven,1
Whenever possible I try to supply natural soaps body soap,1
Dove or  something equivalent. conditioner,1
Cafe Convection Over-the-Range Microwave Oven single oven,1
Giovanni Eco Chic Hair Care Deeper Moisture Conditioner conditioner,1
Eco amenities Oatmeal massage bar  body soap,1
Unique Appliances  refrigerator,1
Giovanni Eco Chic Hair Care 50:50 Balanced Hydrating Clarifying  shampoo,1
Fast wifi \u2013 641 Mbps,1
ONKYO CS-265(R) Hi-Fi System w/Bluetooth sound system with Bluetooth and aux,1
"32\"" TV with Hulu",1
Small toaster oven oven,1
Ginger Lily Farms salon formula pure Morocco Argan Oil,1
Other double oven,1
Other  body soap,1
L\u2019Occitane  body soap,1
Sauve shampoo,1
Sauve body soap,1
PublicGoods shampoo,1
PublicGoods conditioner,1
PublicGoods body soap,1
Vissani  refrigerator,1
"20\"" HDTV with Amazon Prime Video",1
California Baby conditioner,1
California Baby  body soap,1
Nivia body soap,1
Ginger Lily Farms Botanicals Moisturizing Shampoo for All Hair Types,1
California Baby shampoo,1
Wifi blue tooth Bluetooth sound system,1
Coconut Mango  shampoo,1
Dial for women and axe for men  body soap,1
Ginger Lily Farms Club & Fitness Nourishing Body Wash,1
100% Vegan & Cruelty-Free body soap,1
Portable Speaker sound system with Bluetooth and aux,1
Ginger Lily Farms Club & Fitness Moisturizing Conditioner,1
Aloe Vera  conditioner,1
Fast wifi \u2013 648 Mbps,1
Head and Shoukders shampoo,1
Mini refrigerator for only a few items refrigerator,1
Misc\u2026 conditioner,1
TRESemme Deep Moisture shampoo,1
None body soap,1
Hot plates induction stove,1
Generic basic brand conditioner,1
Individually wrapped body soap,1
Everyone Soap body soap,1
Rice cooker,1
micro wave toaster oven,1
1 hot plate,1
hard boiled egg maker  oven,1
Morrocan Oil Conditioner conditioner,1
"28\"" TV with Amazon Prime Video",1
Fast wifi \u2013 451 Mbps,1
Fast wifi \u2013 655 Mbps,1
Dr Bronner body soap,1
Alana,1
2 place hot plate electric stove,1
Italian brand stainless steel gas stove,1
Dove - Deep Moisture body soap,1
Trader Joe\u2019s 3 in 1  shampoo,1
TRESemme Rich Moisture conditioner,1
Three in One Trader Joes : )  body soap,1
Heier refrigerator,1
Trader Joe\u2019s 3 in 1 conditioner,1
"86\"" HDTV with Hulu",1
G&S stainless steel gas stove,1
"54\"" TV with Amazon Prime Video",1
Standard bathroom brands body soap,1
Other  shampoo,1
Soap of the day  body soap,1
sonos arc Bluetooth sound system,1
